time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.300041,-0.8548,-0.4662,2.6832,2.854
3.318716,-0.8651,-0.6431,0.8136,1.351
3.337670,-0.6098,-0.1115,-0.7448,0.969
3.356673,-0.6391,0.1087,0.6800,0.940
3.376170,-1.0095,0.1189,2.6340,2.823
3.395899,-1.0039,-0.1537,2.6599,2.847
3.413885,-1.0570,-0.3556,1.0142,1.507
3.433691,-0.3912,-0.2253,0.5823,0.737
3.452016,-0.0766,-0.2647,2.1213,2.139
3.471225,-0.1261,-0.2842,2.8051,2.822
3.490792,-0.5376,-0.1413,2.7597,2.815
3.509619,-0.8896,-0.2264,3.0030,3.140
3.528192,-0.6033,-0.9366,2.8778,3.086
3.547454,-0.3898,-0.6755,0.7603,1.089
3.566748,-0.7812,-0.6574,-0.0385,1.022
3.585835,-1.1216,-0.8792,1.4107,2.005
3.604752,-0.5322,-1.1170,2.3698,2.673
3.623763,0.7712,-1.4861,2.3028,2.847
3.642636,0.9594,-0.9738,1.7964,2.257
3.661511,0.3209,-0.7307,2.8664,2.975
3.680519,0.1900,-1.0498,3.1579,3.333
3.699932,-0.0850,-0.5173,1.7554,1.832
3.718398,0.2546,-0.2105,1.6389,1.672
3.737650,0.8612,-0.0488,2.9317,3.056
3.757203,0.0344,-0.1749,3.2017,3.207
3.776403,-1.1679,-0.2167,2.0213,2.345
3.795825,-1.8275,-0.1886,0.7665,1.991
3.813883,-1.7387,-0.1796,0.5336,1.828
3.833317,-0.4637,-0.6814,0.7464,1.112
3.852561,-0.5200,-0.4367,-0.1859,0.704
3.870954,-1.4572,-0.5230,-0.3478,1.587
3.890123,-0.8132,-0.5738,0.4725,1.102
3.909194,0.5754,-0.4373,0.2327,0.759
3.928672,1.1379,-0.1993,-1.3129,1.749
3.946857,0.8894,-0.1421,-2.1984,2.376
3.966253,1.7203,-1.0011,-2.6457,3.311
3.985225,2.5420,-1.3561,-2.6945,3.945
4.004640,2.4501,-1.2241,-2.1478,3.481
4.024285,1.7868,-1.3486,-1.2395,2.559
4.042385,0.9402,-0.7148,-1.5141,1.920
4.061539,0.5342,-0.4213,-2.7443,2.827
4.082014,-0.3884,-0.6852,-2.0116,2.160
4.100093,-0.0337,-0.5641,-1.5034,1.606
4.118575,-0.3441,-0.9570,-1.5779,1.877
4.137718,-0.4988,-0.9696,-0.3591,1.148
4.157064,-0.6865,-0.5927,1.0643,1.398
4.176356,-0.8425,-0.3426,1.0376,1.380
4.195888,-0.7977,-0.4927,0.2894,0.981
4.213927,-0.5656,-0.3966,-0.7105,0.991
4.233711,-0.9393,-0.5053,-1.4063,1.765
4.251373,-0.9110,-0.4488,-1.6888,1.971
4.270740,0.3319,-0.0033,-0.7974,0.864
4.290208,1.2256,-0.0079,-0.1204,1.232
4.309762,1.7151,-0.1749,-0.0933,1.726
4.328327,2.1848,-0.0552,-0.4237,2.226
4.347043,2.2762,0.0641,-0.3758,2.308
4.366621,1.8494,-0.2862,-0.6273,1.974
4.384738,1.3632,0.0622,-0.8328,1.599
4.404615,0.8521,-0.0474,0.0113,0.853
4.422920,0.4034,-0.0788,-0.0916,0.421
4.441998,0.5127,-0.0478,-0.2227,0.561
4.461425,0.4802,0.4190,-0.4960,0.808
4.482562,0.0576,-0.0082,-0.2183,0.226
4.499544,-0.5099,0.2582,-0.7050,0.908
4.517621,-0.1384,0.2175,-0.1545,0.301
4.537676,-0.2299,0.1542,-0.6858,0.740
4.555869,-0.5896,0.1590,-0.8569,1.052
