,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
3103418,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,22:00,2022-01-03,06:00,13.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103419,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,23:00,2022-01-03,07:00,12.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103420,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,00:00,2022-01-03,08:00,11.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103421,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,01:00,2022-01-03,09:00,12.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103422,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,02:00,2022-01-03,10:00,14.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103423,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,03:00,2022-01-03,11:00,17.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103424,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,04:00,2022-01-03,12:00,18.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103425,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,05:00,2022-01-03,13:00,19.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103426,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,06:00,2022-01-03,14:00,20.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103427,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,07:00,2022-01-03,15:00,22.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103428,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,08:00,2022-01-03,16:00,23.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103429,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,09:00,2022-01-03,17:00,24.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103430,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,10:00,2022-01-03,18:00,26.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103431,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,11:00,2022-01-03,19:00,26.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103432,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,12:00,2022-01-03,20:00,27.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103433,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,13:00,2022-01-03,21:00,32.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103434,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,14:00,2022-01-03,22:00,35.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103435,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,15:00,2022-01-03,23:00,37.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103436,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,16:00,2022-01-04,00:00,40.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103437,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,17:00,2022-01-04,01:00,41.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103438,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,18:00,2022-01-04,02:00,33.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103439,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,19:00,2022-01-04,03:00,31.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103440,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,20:00,2022-01-04,04:00,28.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103441,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,21:00,2022-01-04,05:00,26.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103442,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,22:00,2022-01-04,06:00,25.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103443,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-03,23:00,2022-01-04,07:00,25.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103444,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,00:00,2022-01-04,08:00,24.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103445,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,01:00,2022-01-04,09:00,22.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103446,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,02:00,2022-01-04,10:00,23.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103447,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,03:00,2022-01-04,11:00,23.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103448,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,04:00,2022-01-04,12:00,25.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103449,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,05:00,2022-01-04,13:00,30.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103450,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,06:00,2022-01-04,14:00,33.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103451,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,07:00,2022-01-04,15:00,34.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103452,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,08:00,2022-01-04,16:00,33.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103453,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,09:00,2022-01-04,17:00,35.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103454,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,10:00,2022-01-04,18:00,39.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103455,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,11:00,2022-01-04,19:00,37.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103456,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,12:00,2022-01-04,20:00,37.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103457,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,13:00,2022-01-04,21:00,34.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103458,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,14:00,2022-01-04,22:00,30.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103459,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,15:00,2022-01-04,23:00,32.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103460,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,16:00,2022-01-05,00:00,31.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103461,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,17:00,2022-01-05,01:00,30.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103462,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,18:00,2022-01-05,02:00,29.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103463,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,19:00,2022-01-05,03:00,27.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103464,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,20:00,2022-01-05,04:00,27.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103465,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-04,21:00,2022-01-05,05:00,27.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
