"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"11/02/2022","30","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","29",".","30"
"11/03/2022","28","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","28",".","25"
"11/04/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","31",".","5"
"11/05/2022","8","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow",".",".","8"
"11/06/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","31",".","12"
"11/07/2022","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","29",".","14"
"11/08/2022","32","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","19",".","32"
"11/09/2022","35","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","25",".","35"
"11/10/2022","43","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","27",".","43"
"11/11/2022","58","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","19",".","58"
"11/12/2022","63","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","17",".","63"
"11/13/2022","62","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","25",".","62"
"11/14/2022","71","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","17",".","71"
"11/15/2022","72","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","21",".","72"
"11/16/2022","62","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","17",".","62"
"11/17/2022","58","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","16",".","58"
"11/18/2022","54","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","22",".","54"
"11/19/2022","58","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","23",".","58"
"11/20/2022","62","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","17",".","62"
"11/21/2022","66","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","11",".","66"
"11/22/2022","59","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","31",".","59"
