"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"05/06/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","3","4"
"05/07/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","17","5"
"05/08/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","3","6"
"05/09/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","5","6"
"05/10/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","6","7"
"05/11/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","8","8"
"05/12/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","7","9"
"05/13/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","5","11"
"05/14/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","4","10"
"05/15/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","6","9"
"05/16/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","9","7"
"05/17/2022","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","11","13"
"05/18/2022","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","19","17"
"05/19/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","10","9"
"05/20/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","11","8"
"05/21/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","11","10"
"05/22/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","9","10"
"05/23/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","14","13"
"05/24/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","13","15"
"05/25/2022","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","29","10","11"
"05/26/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","18","10"
"05/27/2022","23","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","23","6","9"
"05/28/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","5","7"
"05/29/2022","27","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","27","9","5"
"05/30/2022","26","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","26","4","6"
"05/31/2022","23","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","23","8","8"
"06/01/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","16","10"
"06/02/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","14","10"
"06/03/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","13","12"
"06/04/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","2","6"
"06/05/2022","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","29","12","6"
"06/06/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","9","4"
"06/07/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","13","10"
"06/08/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","17","12"
"06/09/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","16","10"
"06/10/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","4","6"
"06/11/2022","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","29","6","4"
"06/12/2022","28","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","28","4","6"
"06/13/2022","26","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","26","23","9"
"06/14/2022","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","11","16"
"06/15/2022","28","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","28","11","15"
"06/16/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","15","21"
"06/17/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","14","16"
"06/18/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","6","8"
"06/19/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","7","9"
"06/20/2022","28","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","28","9","12"
"06/21/2022","27","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","27","17","16"
"06/22/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","16","11"
"06/23/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","12","15"
"06/24/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","19","10"
"06/25/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","16","12"
"06/26/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","19","15"
"06/27/2022","35","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","33","35","22"
"06/28/2022","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","40","13"
"06/29/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","13","13"
"06/30/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","23","18"
"07/01/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","21","20"
"07/02/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","19","23"
"07/03/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","12","20"
"07/04/2022","34","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","34","20","34"
"07/05/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","20","20"
"07/06/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","14","17"
"07/07/2022","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","29","15","15"
"07/08/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","15","18"
"07/09/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","14","15"
"07/10/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","13","14"
"07/11/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","20","16"
"07/12/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","29","19"
"07/13/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","26","13"
"07/14/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","21","13"
"07/15/2022","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","20","15"
"07/16/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","16","13"
"07/17/2022","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32","17","16"
"07/18/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31","19","12"
"07/19/2022","45","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","45","24","16"
"07/20/2022","54","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","54","22","18"
"07/21/2022","58","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","58","22","17"
"07/22/2022","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","27","18"
"07/23/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","19","15"
"07/24/2022","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","21","19"
"07/25/2022","47","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","47","28","25"
"07/26/2022","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","35","28"
"07/27/2022","48","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","48","38","30"
"07/28/2022","46","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","46","35","30"
"07/29/2022","51","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","51","28","30"
"07/30/2022","58","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","58","31","29"
"07/31/2022","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","30","36"
"08/01/2022","36","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","36","36","34"
"08/02/2022","43","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","43","31","22"
"08/03/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","31","23"
"08/04/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","31","22"
"08/05/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","26","25"
"08/06/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37","30","27"
"08/07/2022","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","24","25"
"08/08/2022","49","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","49","34","31"
"08/09/2022","55","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","35","55","38"
"08/10/2022","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","31","23"
"08/11/2022","34","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","34","22","26"
"08/12/2022","45","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","45","31","33"
"08/13/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","30","17"
